target_harvest_month,crop_code,state_code,year,modal_price
7,0,1,2024,33.08668518139653
6,0,1,2029,36.143056759040995
8,0,1,2026,23.758475271183872
7,0,1,2029,36.31666882413431
4,0,1,2029,29.298797550175344
5,0,1,2027,25.15866462498678
6,0,1,2024,21.085566433125546
8,0,1,2024,20.910803317486156
8,0,1,2030,34.66512668815798
6,0,1,2027,37.66003716751592
2,0,1,2024,26.45539645734449
11,0,1,2027,25.787330422323976
11,0,1,2030,40.735840752253075
12,0,1,2027,34.41364435789686
10,0,1,2030,27.017353596215678
7,0,1,2024,24.320887981565175
6,0,1,2026,25.71011866808675
3,0,1,2030,43.29689954774922
3,0,1,2029,27.670633373343225
5,0,1,2027,28.326128296929774
11,0,1,2028,37.89973266030297
9,0,1,2026,28.146894410895236
3,0,1,2030,28.46669812537195
9,0,1,2025,22.843888729136758
7,0,1,2024,31.706872472636196
9,0,1,2028,24.050162032808917
8,0,1,2030,42.007946791968585
12,0,1,2027,36.33683170600779
5,0,1,2024,27.514674108189805
12,0,1,2025,24.68044163938655
9,0,1,2028,27.046817735385677
5,0,1,2030,29.53502901702554
1,0,1,2030,44.40190756485512
11,0,1,2024,29.151355021187783
5,0,1,2024,27.029528640651098
12,0,1,2024,27.966694004349783
9,0,1,2026,27.504433971247618
5,0,1,2030,33.202927932870885
1,0,1,2027,25.185357358895324
10,0,1,2029,38.53022842943676
12,0,1,2027,39.84790022597252
12,0,1,2026,25.790055898814884
11,0,1,2029,41.583480521895844
6,0,1,2030,39.1805388105927
6,0,1,2028,41.74176234021793
6,0,1,2029,29.433519289649595
7,0,1,2026,38.19079574519535
9,0,1,2028,30.604660258521516
4,0,1,2027,24.970051625366423
2,0,1,2028,27.14920534836141
2,0,1,2024,26.33564051383165
1,0,1,2025,27.863539295022083
10,0,1,2030,29.99185777194559
5,0,1,2028,27.774083971273466
9,0,1,2024,28.645873850548366
3,0,1,2028,32.34730594940391
7,0,1,2030,40.18412583396519
6,0,1,2024,27.91484618109003
5,0,1,2030,36.81530927270494
12,0,1,2030,26.99345448868981
10,0,1,2030,38.290623421379166
1,0,1,2028,24.740846083890105
2,0,1,2026,38.12792909447518
12,0,1,2024,20.636530690498816
1,0,1,2030,42.31317809841568
6,0,1,2027,24.458176230003854
8,0,1,2025,27.938548526685047
10,0,1,2027,23.8812569235475
8,0,1,2024,31.24649933747726
9,0,1,2029,29.33929916219509
7,0,1,2029,35.068392525563816
3,0,1,2030,36.242071425968234
8,0,1,2029,42.69362908415766
6,0,1,2028,28.77873088724451
4,0,1,2024,20.818771887313364
11,0,1,2030,41.41684044366082
5,0,1,2024,33.05048743447296
7,0,1,2024,24.722172331158134
11,0,1,2025,30.81996268943799
5,0,1,2026,37.99290157235951
6,0,1,2030,32.76650765181959
4,0,1,2030,31.621571960971625
11,0,1,2026,25.86962771413226
2,0,1,2026,36.898220702196326
12,0,1,2030,29.21148960879573
3,0,1,2028,38.88689240478374
9,0,1,2025,35.735181757265885
3,0,1,2028,39.94711370843588
2,0,1,2028,24.1706238237499
10,0,1,2024,21.860826028484063
4,0,1,2030,35.89709087276012
7,0,1,2029,33.999775322820284
5,0,1,2027,38.4793552469029
11,0,1,2029,38.47425115539749
7,0,1,2027,34.59569671462983
4,0,1,2027,24.033502220996606
1,0,1,2024,32.07860281246027
12,0,1,2028,39.33613279378278
10,0,1,2026,36.0094720474698
3,0,1,2025,34.66557220953406
4,0,1,2028,40.567108672401766
11,0,1,2029,40.00007132276074
10,0,1,2030,33.32164990412889
3,0,1,2025,29.315484865767083
7,0,1,2029,34.302034137735035
11,0,1,2028,40.37404834010789
1,0,1,2028,34.62402825425511
2,0,1,2029,27.97306047449281
9,0,1,2026,26.22109466881738
11,0,1,2026,27.919721727808117
2,0,1,2025,35.18828593670925
6,0,1,2024,34.72446117874526
9,0,1,2027,32.723956013284244
6,0,1,2025,29.879869072922343
7,0,1,2028,37.37986002368246
1,0,1,2026,26.276025359208138
1,0,1,2026,26.41720639053602
1,0,1,2026,28.640658136977326
4,0,1,2027,36.3455900128642
5,0,1,2030,39.82563549238191
11,0,1,2026,37.62514554382769
3,0,1,2024,25.951736172496176
12,0,1,2027,28.946157049185246
4,0,1,2026,28.277584817416894
5,0,1,2028,29.9858539295316
1,0,1,2024,28.392122493417975
9,0,1,2026,37.91669700944111
8,0,1,2030,30.5022183991661
4,0,1,2027,26.35414252701653
8,0,1,2025,23.38585625737083
4,0,1,2024,26.76115732812766
3,0,1,2029,34.13426339409599
1,0,1,2028,26.052614882785498
3,0,1,2027,28.562696800575612
2,0,1,2029,26.901342862543977
5,0,1,2030,27.899111836268176
10,0,1,2029,39.32505261687952
8,0,1,2027,29.138222050386617
1,0,1,2025,23.513404327625288
6,0,1,2029,26.439891891347457
5,0,1,2027,38.865147755077246
4,0,1,2026,22.690232418233204
11,0,1,2030,36.23889966644319
8,0,1,2029,34.20589658242221
2,0,1,2029,33.57961663771835
10,0,1,2025,22.714799583420877
3,0,1,2029,30.65992009757843
